anime_id,title,title_english,title_japanese,title_synonyms,url,image_url,trailer_url,type,source,episodes,status,airing,aired_from,aired_to,duration,rating,score,scored_by,rank,popularity,members,favorites,synopsis,background,season,year,broadcast_day,broadcast_time,producers,licensors,studios,genres,themes
1469,Monster Farm: Enbanseki no Himitsu,Monster Rancher,モンスターファーム,,https://myanimelist.net/anime/1469/Monster_Farm__Enbanseki_no_Himitsu,https://cdn.myanimelist.net/images/anime/1044/113641.jpg,,TV,Game,48.0,Finished Airing,False,1999-04-17T00:00:00+00:00,2000-03-25T00:00:00+00:00,24 min per ep,PG-13 - Teens 13 or older,6.79,24117.0,5276.0,3361,46410,110,"Genki is a boy who loves playing video games. One day he's zapped into the world of Monster Rancher and meets the girl Holly and the monsters Mochi, Suezo, Golem, Tiger and Hare. Together, they are searching for a way to revive the Phoenix, which is the only monster capable of stopping the evil Moo.

(Source: ANN)",,spring,1999.0,Saturdays,07:30,,"ADV Films, Discotek Media",TMS Entertainment,"Action, Adventure, Comedy, Fantasy",Isekai
1563,Magic Knight Rayearth II,Magic Knight Rayearth II,魔法騎士（マジックナイト）レイアース II,Mahou Kishi Rayearth II,https://myanimelist.net/anime/1563/Magic_Knight_Rayearth_II,https://cdn.myanimelist.net/images/anime/1336/135527.jpg,,TV,Manga,29.0,Finished Airing,False,1995-04-10T00:00:00+00:00,1995-11-27T00:00:00+00:00,24 min per ep,PG-13 - Teens 13 or older,7.49,17668.0,1955.0,3868,35406,150,"Little time has passed since the Magic Knights’ final confrontation with Princess Emeraude’s ""Mashin."" Still haunted by the princess’ death, Hikaru Shidou returns to Tokyo Tower. There, she meets her friends Umi Ryuuzaki and Fuu Hououji for the first time since their spontaneous quest to save Cephiro. Plagued by nightmares of the realm she had left behind, Hikaru is relieved to find that her companions too want to return and serve the kingdom they once so dutifully protected.

The Magic Knights’ wish is answered, for at the top of Tokyo Tower, the three are blinded by the same great light they had seen on the day they first met. Once more on the back of a flying fish, the group returns to Cephiro—a world now desolate and in ruins. With the collapse of the Pillar's power, monsters freely roam the land while three nations seek to annex Cephiro with hopes of seizing the Pillar for themselves. Complicating things further is the mysterious Lady Debonair, who proclaims herself to be the rightful heir of the fallen country.

Now confronting graver stakes and radically different enemies, the three Magic Knights set forth once more to save Cephiro and bring peace. With the bonds they have forged together, the trio stands united in the face of such a great challenge.

[Written by MAL Rewrite]","Magic Knight Rayearth II was released on DVD by Media Blasters in seven volumes on March 25, 2003. The series was later remastered and released on Blu-ray and DVD by Discotek Media on January 31, 2017 and February 28, 2017 respectively.",spring,1995.0,Mondays,19:30,,"Media Blasters, Discotek Media",TMS Entertainment,"Action, Adventure, Drama, Fantasy, Romance","Isekai, Mahou Shoujo, Mecha"
1657,Byston Well Monogatari: Garzey no Tsubasa,Garzey's Wing,バイストン・ウェル物語 ガーゼィの翼,Tales of Byston Well,https://myanimelist.net/anime/1657/Byston_Well_Monogatari__Garzey_no_Tsubasa,https://cdn.myanimelist.net/images/anime/4/5440.jpg,,OVA,Novel,3.0,Finished Airing,False,1996-09-21T00:00:00+00:00,1997-04-09T00:00:00+00:00,30 min per ep,PG-13 - Teens 13 or older,4.12,6751.0,13437.0,5317,17233,92,"Christopher ""Chris"" Chiaki is an easygoing guy who keeps failing his college entrance exams well into his mid-twenties. His days are occupied with Kendo practice, visits to his family's shrine, and dreaming of his high school reunion. When his spirit is suddenly transported to the world of Byston Well, Chris becomes Garzey's Wing, a legendary holy warrior. The Metomeus tribe summoned him to help liberate them from slavery, but unfortunately, Chris has no knowledge on how to be a holy warrior, and moreover, only has an incredibly dull sword which he salvaged from a corpse.

To make matters more complicated, there is another Chris who is still in the normal world!  He cannot control the events in Byston Well, but is tied to the fate of the other Chris. The young man must struggle and adventure in a world of magical creatures and mysterious foreigners.

[Written by MAL Rewrite]",,,,,,"BMG Japan, Sanctuary",Central Park Media,J.C.Staff,"Action, Fantasy",Isekai
1681,Brave Story,Brave Story,ブレイブ・ストーリー,,https://myanimelist.net/anime/1681/Brave_Story,https://cdn.myanimelist.net/images/anime/1333/97262.jpg,https://www.youtube.com/watch?v=boYdRT1d2O0,Movie,Novel,1.0,Finished Airing,False,2006-07-08T00:00:00+00:00,,1 hr 52 min,G - All Ages,7.4,20679.0,2296.0,3406,45413,186,"When 11-year-old Wataru's father leaves home and his mother is taken ill to the hospital, he decides to change his fate by traveling through the door shown to him by his friend Mitsuru. In a land of magic and monsters, Wataru must summon all his courage and embark on a journey with several comrades to meet the Goddess of Destiny and change this ""mistaken fate.""

(Source: ANN)",,,,,,"Dentsu, SKY Perfect Well Think, Fuji TV, Warner Bros. Japan",,Gonzo,"Action, Adventure, Fantasy",Isekai
1840,Zero no Tsukaima: Futatsuki no Kishi,The Familiar of Zero: Knight of the Twin Moons,ゼロの使い魔 ～双月の騎士～,"Zero's Familiar 2nd Series, Zero no Tsukaima S2, The Familiar of Zero: The Rider of the Twin Moons",https://myanimelist.net/anime/1840/Zero_no_Tsukaima__Futatsuki_no_Kishi,https://cdn.myanimelist.net/images/anime/2/22740.jpg,https://www.youtube.com/watch?v=szm9Ycdp2XE,TV,Light novel,12.0,Finished Airing,False,2007-07-09T00:00:00+00:00,2007-09-24T00:00:00+00:00,23 min per ep,PG-13 - Teens 13 or older,7.39,312437.0,2347.0,450,511616,1269,"Revered as heroes for their role in defending Tristain, Louise Françoise and her familiar Saito Hiraga face heavy pressure to continue protecting the Kingdom. With an uneasy peace now established within Albion, the newly crowned Queen Henrietta must deal with a political struggle brewing on the horizon. To make matters worse, a new villain has begun plotting in the shadows against the Crown.

With the continuing threats that face the Kingdom, Louise and Saito are compelled to work together once more. No longer ""Louise the Zero,"" the young mage's newfound aptitude for Void magic gives her enough power to wipe out an entire village; however, wielding these abilities comes with its share of challenges. As more conflicts arise, the idea of placing honor above oneself is put into question—regardless of their answer, their only choice is to see it through until the end.

[Written by MAL Rewrite]",,summer,2007.0,Mondays,00:30,"Genco, Media Factory, Shochiku, Happinet Pictures",Sentai Filmworks,J.C.Staff,"Action, Adventure, Comedy, Fantasy, Romance, Ecchi","Harem, Isekai, School"
1904,Harukanaru Toki no Naka de 2: Shiroki Ryuu no Miko,,遙かなる時空の中で2~白き龍の神子~,"In a Distant Time OVA 2, Haruka Naru Toki no Naka de 2: Shiroki Ryuu no Miko",https://myanimelist.net/anime/1904/Harukanaru_Toki_no_Naka_de_2__Shiroki_Ryuu_no_Miko,https://cdn.myanimelist.net/images/anime/4/72172.jpg,,OVA,Visual novel,3.0,Finished Airing,False,2003-03-23T00:00:00+00:00,2005-02-02T00:00:00+00:00,30 min per ep,PG-13 - Teens 13 or older,6.39,1272.0,7581.0,9515,3878,2,"Harukanaru Toki no Naka de 2 takes place 100 years after the original Harukanaru Toki no Naka de story. In the past that is, very little time has gone by in the future. Kyou, which resembles Kyoto in the Heian period, is in turmoil because of a power struggle going on between the emperor and the retired emperor, and the people of Kyou are falling into desperation, fearing the coming of the end of the world. Karin was walking with her friends when suddenly she is brought by the White Dragon to the land of Kyou. She was chosen as the new priestess of the White Dragon and she must fight against the evil with the help of her guardians while meantime, she keeps having visions of a mysterious man...",,,,,,,,Yumeta Company,"Fantasy, Romance","Historical, Isekai, Mythology, Time Travel"
1905,Harukanaru Toki no Naka de: Hachiyou Shou Specials,,遙かなる時空の中で〜八葉抄〜 1〜9,"Harukanaru Toki no Naka de: Character Endings, In a Distant Time: Character Endings",https://myanimelist.net/anime/1905/Harukanaru_Toki_no_Naka_de__Hachiyou_Shou_Specials,https://cdn.myanimelist.net/images/anime/7/30559.jpg,,Special,Visual novel,8.0,Finished Airing,False,2005-09-23T00:00:00+00:00,2006-04-16T00:00:00+00:00,5 min per ep,PG-13 - Teens 13 or older,6.35,972.0,7816.0,10343,2970,2,Short clips about what happens after the TV series.,,,,,,,,Yumeta Company,"Fantasy, Romance, Supernatural","Historical, Isekai, Time Travel"
1906,Harukanaru Toki no Naka de: Maihitoyo,,劇場版 遙かなる時空（とき）の中で 舞一夜（まいひとよ）,"Gekijouban Haruka Naru Toki no Naka de: Maihitoyo, Gekijo Ban Harukanaru Toki no Nakade -Mai Hitoyo-, GekijouBan Harukanaru Toki no Naka de: MaiHitoyo, Beyond the Stream of Time: A Dance in the Moonlight",https://myanimelist.net/anime/1906/Harukanaru_Toki_no_Naka_de__Maihitoyo,https://cdn.myanimelist.net/images/anime/3/72170.jpg,,Movie,Visual novel,1.0,Finished Airing,False,2006-08-19T00:00:00+00:00,,1 hr 40 min,PG-13 - Teens 13 or older,7.12,1923.0,3749.0,8053,6145,16,"One rainy day, Akane crosses path with a kind young man who tacitly offers to her his coat. On their second encounter, he confesses that he has no recollection of who he is, his name or his past, but feels contented by just being with her. Besotted, Akane sets out to find his name, and to unravel his enigmatic connection with a famous cursed dance rumoured to kill anyone who attempts to perform it.

(Source: ANN)",,,,,,,,Yumeta Company,"Drama, Fantasy, Romance, Supernatural","Historical, Isekai, Time Travel"
1907,Harukanaru Toki no Naka de: Hachiyou Shou OVA,,遙かなる時空の中で〜八葉抄〜,"Destination of the Heart, Where the Heart Belongs, HaruToki Special, Haruka naru Toki no Naka de: Omoi no Arika (Chi), Haruka naru Toki no Naka de: Kokoro no Yukue (Ten), Harukanaru Toki no Naka de: Kokoro no Yukue",https://myanimelist.net/anime/1907/Harukanaru_Toki_no_Naka_de__Hachiyou_Shou_OVA,https://cdn.myanimelist.net/images/anime/7/72169.jpg,,OVA,Visual novel,2.0,Finished Airing,False,2005-12-23T00:00:00+00:00,2006-01-27T00:00:00+00:00,21 min per ep,PG-13 - Teens 13 or older,6.46,671.0,7217.0,11202,2292,3,A funny side side story of the series.,,,,,,,,Yumeta Company,"Comedy, Fantasy, Supernatural","Historical, Isekai, Mythology, Time Travel"
2031,Shining Tears X Wind,Shining Tears X Wind,シャイニング・ティアーズ・クロス・ウィンド,"Shining Tears Ex, Shining Tears Cross Wind",https://myanimelist.net/anime/2031/Shining_Tears_X_Wind,https://cdn.myanimelist.net/images/anime/10/2298.jpg,,TV,Game,13.0,Finished Airing,False,2007-04-07T00:00:00+00:00,2007-06-30T00:00:00+00:00,24 min per ep,PG-13 - Teens 13 or older,6.46,13028.0,7187.0,3856,35765,68,"Mysterious disappearances are occurring one after the other in Tatsumi Town. Kiriya has a vision from a mysterious beautiful girl with pointy ears. A book talking for an alternative world is found. And Mao searching for her long lost friend, Zero, comes to our world. But what she didn’t expect is to find Souma and Kureha, and even less, to accidentally take them to her world. Now, Souma and Kureha have to find a way to come back. But other forces are playing their part in the darkness and Souma with Kureha will find that going back is harder than they first anticipated.

(Source: ANN)",,spring,2007.0,Saturdays,01:30,Sega,Discotek Media,Studio Deen,"Action, Adventure, Fantasy",Isekai
